frame_index,timestamp_sec,track_id,vehicle_class,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crossed_line,counted
0,0.0,1,car,0.25880417227745056,153,1,233,27,False,False
1,0.03336666666666667,1,car,0.2586928606033325,153,1,233,27,False,False
4,0.13346666666666668,2,car,0.4679044485092163,613,2,653,26,False,False
5,0.16683333333333333,2,car,0.44568613171577454,611,2,654,28,False,False
6,0.20020000000000002,2,car,0.3645095229148865,609,2,654,30,False,False
7,0.23356666666666667,2,car,0.4661615192890167,606,1,655,32,False,False
8,0.26693333333333336,2,car,0.46123042702674866,605,2,656,34,False,False
9,0.3003,2,car,0.4382288455963135,602,1,659,37,False,False
9,0.3003,5,car,0.625249981880188,679,1,721,35,False,False
10,0.33366666666666667,2,car,0.5052439570426941,600,1,658,39,False,False
10,0.33366666666666667,5,car,0.7249338626861572,678,2,722,37,False,False
11,0.3670333333333333,2,car,0.4212847650051117,598,2,658,41,False,False
11,0.3670333333333333,5,car,0.7170379161834717,677,2,723,39,False,False
12,0.40040000000000003,2,car,0.478952556848526,598,3,658,43,False,False
12,0.40040000000000003,5,car,0.5373358726501465,677,2,725,41,False,False
13,0.4337666666666667,2,car,0.5199747085571289,597,5,656,45,False,False
13,0.4337666666666667,5,car,0.5577192902565002,678,6,724,43,False,False
14,0.46713333333333334,2,car,0.49846407771110535,597,7,655,47,False,False
14,0.46713333333333334,5,car,0.46628308296203613,680,10,724,45,False,False
15,0.5005000000000001,2,car,0.41926249861717224,595,10,653,50,False,False
15,0.5005000000000001,5,car,0.5350550413131714,680,12,724,48,False,False
16,0.5338666666666667,2,car,0.5345877408981323,594,12,651,52,False,False
16,0.5338666666666667,5,car,0.5864765644073486,679,13,726,50,False,False
17,0.5672333333333334,2,car,0.5973493456840515,592,14,649,55,False,False
17,0.5672333333333334,5,car,0.49928125739097595,681,19,724,53,False,False
18,0.6006,2,car,0.6515302658081055,591,16,648,58,False,False
18,0.6006,5,car,0.6568693518638611,680,20,725,55,False,False
19,0.6339666666666667,2,car,0.7011857628822327,592,20,647,60,False,False
19,0.6339666666666667,5,car,0.5844628214836121,680,22,726,59,False,False
20,0.6673333333333333,2,car,0.8012876510620117,591,21,646,62,False,False
20,0.6673333333333333,5,car,0.5179608464241028,682,24,727,61,False,False
21,0.7007,2,car,0.8481296896934509,590,23,646,65,False,False
21,0.7007,5,car,0.6246243715286255,683,26,729,63,False,False
22,0.7340666666666666,2,car,0.8268261551856995,589,23,646,67,False,False
22,0.7340666666666666,5,car,0.6527771353721619,683,25,732,65,False,False
23,0.7674333333333333,2,car,0.7606821060180664,589,24,647,69,False,False
23,0.7674333333333333,5,car,0.693113386631012,682,27,733,69,False,False
24,0.8008000000000001,2,car,0.7462448477745056,587,28,646,74,False,False
24,0.8008000000000001,5,car,0.7077116370201111,682,30,734,72,False,False
25,0.8341666666666667,2,car,0.703977108001709,586,31,644,78,False,False
25,0.8341666666666667,5,car,0.8009952902793884,683,33,734,75,False,False
26,0.8675333333333334,2,car,0.7055259943008423,583,33,644,82,False,False
26,0.8675333333333334,5,car,0.7691360116004944,682,36,735,79,False,False
26,0.8675333333333334,15,car,0.4567175507545471,611,0,653,22,False,False
27,0.9009,2,car,0.7442710995674133,581,36,643,87,False,False
27,0.9009,5,car,0.7803727984428406,681,38,736,84,False,False
27,0.9009,15,car,0.47256025671958923,611,1,653,23,False,False
28,0.9342666666666667,2,car,0.6508963704109192,579,39,642,92,False,False
28,0.9342666666666667,5,car,0.8638075590133667,681,41,737,88,False,False
28,0.9342666666666667,15,car,0.5853251814842224,610,1,653,24,False,False
28,0.9342666666666667,19,car,0.31049367785453796,679,1,717,34,False,False
29,0.9676333333333333,2,car,0.6273206472396851,577,43,639,96,False,False
29,0.9676333333333333,5,car,0.7998600006103516,683,44,739,92,False,False
29,0.9676333333333333,15,car,0.6076731085777283,608,1,653,25,False,False
30,1.0010000000000001,2,car,0.5719597339630127,574,45,639,102,False,False
30,1.0010000000000001,5,car,0.8454421162605286,683,47,741,96,False,False
30,1.0010000000000001,15,car,0.5661056637763977,606,1,654,27,False,False
31,1.0343666666666667,2,car,0.4823891818523407,569,49,637,107,False,False
31,1.0343666666666667,5,car,0.7792110443115234,683,50,743,102,False,False
31,1.0343666666666667,15,car,0.5085000991821289,604,1,655,29,False,False
32,1.0677333333333334,2,car,0.6762875318527222,569,52,636,110,False,False
32,1.0677333333333334,5,car,0.8146239519119263,683,54,745,107,False,False
32,1.0677333333333334,15,car,0.474113792181015,603,1,656,30,False,False
33,1.1011,2,car,0.6492804884910583,565,57,636,118,False,False
33,1.1011,5,car,0.8214909434318542,683,58,745,112,False,False
33,1.1011,15,car,0.43968215584754944,601,1,657,32,False,False
34,1.1344666666666667,2,car,0.6818956732749939,562,60,635,124,False,False
34,1.1344666666666667,5,car,0.7803583741188049,683,62,748,118,False,False
34,1.1344666666666667,15,car,0.5008913278579712,598,0,656,33,False,False
35,1.1678333333333333,2,car,0.8061501979827881,558,64,634,131,False,False
35,1.1678333333333333,5,car,0.7965996265411377,684,66,749,123,False,False
35,1.1678333333333333,15,car,0.613120973110199,597,1,657,35,False,False
35,1.1678333333333333,35,car,0.5694131851196289,781,30,838,83,False,False
36,1.2012,2,car,0.8278722167015076,556,68,633,137,False,False
36,1.2012,5,car,0.829984188079834,684,71,751,130,False,False
36,1.2012,15,car,0.6398599147796631,595,1,657,38,False,False
36,1.2012,35,car,0.5817463397979736,782,33,842,88,False,False
36,1.2012,36,car,0.5125292539596558,751,1,789,20,False,False
37,1.2345666666666666,2,car,0.8236569762229919,552,73,632,145,False,False
37,1.2345666666666666,5,car,0.82675701379776,684,75,753,136,False,False
37,1.2345666666666666,15,car,0.6394486427307129,593,1,657,40,False,False
37,1.2345666666666666,35,car,0.785460352897644,785,36,846,92,False,False
37,1.2345666666666666,36,car,0.4435310661792755,751,2,792,23,False,False
37,1.2345666666666666,37,car,0.4781055152416229,682,17,721,58,False,False
38,1.2679333333333334,2,car,0.7749318480491638,550,79,630,151,False,False
38,1.2679333333333334,5,car,0.8083270788192749,684,81,755,144,False,False
38,1.2679333333333334,15,car,0.6240333318710327,593,2,657,42,False,False
38,1.2679333333333334,35,car,0.6644544005393982,788,39,851,98,False,False
38,1.2679333333333334,36,car,0.5388159155845642,751,2,795,25,False,False
38,1.2679333333333334,37,car,0.5052089691162109,682,19,721,61,False,False
39,1.3013000000000001,2,car,0.6352226734161377,546,84,629,160,False,False
39,1.3013000000000001,5,car,0.8000097870826721,683,85,757,151,False,False
39,1.3013000000000001,15,car,0.6390516757965088,593,3,655,43,False,False
39,1.3013000000000001,35,car,0.6672064065933228,791,42,858,104,False,False
39,1.3013000000000001,36,car,0.5681154727935791,749,0,801,28,False,False
39,1.3013000000000001,37,car,0.40119192004203796,682,22,721,64,False,False
40,1.3346666666666667,2,car,0.827218770980835,543,91,627,169,False,False
40,1.3346666666666667,5,car,0.8372865915298462,684,91,759,159,False,False
40,1.3346666666666667,15,car,0.6100316643714905,592,4,655,45,False,False
40,1.3346666666666667,35,car,0.7570802569389343,794,47,861,108,False,False
40,1.3346666666666667,36,car,0.552670955657959,748,0,805,30,False,False
40,1.3346666666666667,37,car,0.39126056432724,681,23,724,68,False,False
41,1.3680333333333334,2,car,0.8128402233123779,536,96,626,180,False,False
41,1.3680333333333334,5,car,0.8749520182609558,684,97,762,167,False,False
41,1.3680333333333334,15,car,0.5632327795028687,590,4,655,48,False,False
41,1.3680333333333334,35,car,0.5298942923545837,797,51,867,115,False,False
41,1.3680333333333334,36,car,0.6145979166030884,748,0,808,33,False,False
42,1.4014,2,car,0.8174291253089905,532,102,625,190,False,False
42,1.4014,5,car,0.8545935153961182,685,103,766,176,False,False
42,1.4014,15,car,0.6299476027488708,590,6,654,51,False,False
42,1.4014,35,car,0.6022109389305115,801,54,873,119,False,False
42,1.4014,36,car,0.6210448741912842,749,0,811,35,False,False
42,1.4014,37,car,0.438253790140152,679,25,726,76,False,False
43,1.4347666666666667,2,car,0.7865528464317322,527,110,623,201,False,False
43,1.4347666666666667,5,car,0.8133682012557983,686,109,769,185,False,False
43,1.4347666666666667,15,car,0.6214675903320312,590,9,654,54,False,False
43,1.4347666666666667,35,car,0.5623960494995117,804,58,880,127,False,False
43,1.4347666666666667,36,car,0.6865404844284058,749,0,814,37,False,False
43,1.4347666666666667,43,truck,0.4695754647254944,802,57,881,126,False,False
43,1.4347666666666667,37,car,0.43505144119262695,680,26,728,78,False,False
44,1.4681333333333333,2,car,0.7101093530654907,521,118,620,212,False,False
44,1.4681333333333333,5,car,0.784684956073761,686,116,773,195,False,False
44,1.4681333333333333,15,car,0.6153157949447632,590,12,652,58,False,False
44,1.4681333333333333,35,car,0.6581557989120483,809,64,885,133,False,False
44,1.4681333333333333,36,car,0.648267924785614,750,0,817,39,False,False
44,1.4681333333333333,37,car,0.5796756148338318,680,31,728,82,False,False
45,1.5015,2,car,0.6821556091308594,515,126,620,227,False,False
45,1.5015,5,car,0.8204248547554016,687,123,777,207,False,False
45,1.5015,15,car,0.6589484810829163,590,15,651,60,False,False
45,1.5015,35,car,0.7793861627578735,812,68,893,141,False,False
45,1.5015,36,car,0.6506614089012146,751,1,820,41,False,False
45,1.5015,37,car,0.5897240042686462,682,35,730,86,False,False
46,1.5348666666666666,2,car,0.6797451376914978,509,135,618,241,False,False
46,1.5348666666666666,5,car,0.802733838558197,687,130,781,218,False,False
46,1.5348666666666666,15,car,0.7012942433357239,589,17,650,63,False,False
46,1.5348666666666666,35,car,0.689665675163269,816,74,901,150,False,False
46,1.5348666666666666,36,car,0.6835604906082153,752,1,823,44,False,False
46,1.5348666666666666,37,car,0.621538519859314,681,37,732,91,False,False
46,1.5348666666666666,19,car,0.3876385986804962,683,2,711,24,False,False
47,1.5682333333333334,2,car,0.5898791551589966,502,143,618,257,False,False
47,1.5682333333333334,5,car,0.7895258665084839,687,138,785,230,False,False
47,1.5682333333333334,15,car,0.7135623693466187,589,20,649,66,False,False
47,1.5682333333333334,35,car,0.698460042476654,821,80,908,158,False,False
47,1.5682333333333334,36,car,0.43426215648651123,753,0,826,46,False,False
47,1.5682333333333334,37,car,0.6046836972236633,680,39,734,96,False,False
47,1.5682333333333334,19,car,0.5566999316215515,683,2,713,26,False,False
48,1.6016000000000001,2,car,0.7099942564964294,495,155,614,273,False,False
48,1.6016000000000001,5,car,0.7718589901924133,689,148,790,243,False,False
48,1.6016000000000001,15,car,0.6786597967147827,588,22,649,70,False,False
48,1.6016000000000001,35,car,0.6031852960586548,825,86,918,168,False,False
48,1.6016000000000001,36,car,0.5414987802505493,754,0,829,50,False,False
48,1.6016000000000001,37,car,0.7443660497665405,679,42,735,101,False,False
48,1.6016000000000001,19,car,0.4545256793498993,682,2,714,27,False,False
49,1.6349666666666667,2,car,0.6212453842163086,487,166,611,290,False,False
49,1.6349666666666667,5,car,0.7157707214355469,689,157,796,258,False,False
49,1.6349666666666667,15,car,0.687143862247467,587,25,648,74,False,False
49,1.6349666666666667,35,car,0.7083092927932739,830,91,927,176,False,False
49,1.6349666666666667,36,car,0.5902539491653442,756,3,830,53,False,False
49,1.6349666666666667,37,car,0.721568763256073,679,46,737,107,False,False
49,1.6349666666666667,19,car,0.3963967263698578,681,2,716,29,False,False
49,1.6349666666666667,52,truck,0.4003310799598694,828,90,928,176,False,False
50,1.6683333333333334,2,car,0.7258778214454651,476,179,609,312,False,False
50,1.6683333333333334,5,car,0.7734435796737671,690,168,802,275,False,False
50,1.6683333333333334,15,car,0.6913420557975769,586,27,647,77,False,False
50,1.6683333333333334,35,car,0.6355400085449219,837,98,936,185,False,False
50,1.6683333333333334,36,car,0.5280424952507019,761,7,832,56,False,False
50,1.6683333333333334,37,car,0.7840689420700073,680,49,739,112,False,False
50,1.6683333333333334,19,car,0.3411305844783783,678,1,719,32,False,False
51,1.7017,2,car,0.7797224521636963,466,193,607,335,False,False
51,1.7017,5,car,0.6949353218078613,691,182,808,295,False,False
51,1.7017,15,car,0.7064886093139648,584,30,646,81,False,False
51,1.7017,35,car,0.6258834600448608,841,104,948,198,False,False
51,1.7017,36,car,0.5826044678688049,766,12,834,60,False,False
51,1.7017,37,car,0.7344619035720825,680,52,740,116,False,False
51,1.7017,19,car,0.42483019828796387,676,0,720,35,False,False
52,1.7350666666666668,2,car,0.7592488527297974,455,207,605,360,False,False
52,1.7350666666666668,5,car,0.6630116105079651,691,195,816,316,False,False
52,1.7350666666666668,15,car,0.6310491561889648,583,33,645,84,False,False
52,1.7350666666666668,35,car,0.64057856798172,849,113,958,208,False,False
52,1.7350666666666668,36,car,0.5813807249069214,770,16,835,63,False,False
52,1.7350666666666668,37,car,0.8505970239639282,681,57,742,122,False,False
52,1.7350666666666668,19,car,0.4088216722011566,675,1,722,38,False,False
53,1.7684333333333333,2,car,0.7044937014579773,440,224,601,390,False,False
53,1.7684333333333333,5,car,0.7594283223152161,692,208,823,336,False,False
53,1.7684333333333333,15,car,0.7197628021240234,581,35,644,89,False,False
53,1.7684333333333333,35,car,0.4389115273952484,854,120,971,220,False,False
53,1.7684333333333333,36,car,0.70061194896698,772,19,838,66,False,False
53,1.7684333333333333,37,car,0.7468112111091614,681,59,745,128,False,False
53,1.7684333333333333,19,car,0.5339276790618896,675,1,723,40,False,False
53,1.7684333333333333,58,car,0.32076799869537354,47,0,127,25,False,False
54,1.8018,2,car,0.7786465883255005,423,240,598,422,True,True
54,1.8018,5,car,0.7842096090316772,693,223,835,362,False,False
54,1.8018,15,car,0.7835177779197693,580,39,643,94,False,False
54,1.8018,35,car,0.6807330250740051,862,129,986,236,False,False
54,1.8018,36,car,0.7188348174095154,774,20,841,70,False,False
54,1.8018,37,car,0.8005862832069397,681,64,746,135,False,False
54,1.8018,19,car,0.5377039313316345,674,2,723,42,False,False
54,1.8018,58,car,0.30465325713157654,48,0,127,25,False,False
55,1.8351666666666666,2,car,0.7709115147590637,407,263,595,461,True,True
55,1.8351666666666666,5,car,0.819882333278656,694,240,847,390,False,False
55,1.8351666666666666,15,car,0.8021299242973328,578,42,643,98,False,False
55,1.8351666666666666,35,car,0.6341536045074463,870,138,1001,251,False,False
55,1.8351666666666666,36,car,0.7384524345397949,777,24,844,74,False,False
55,1.8351666666666666,37,car,0.8337052464485168,682,68,749,142,False,False
55,1.8351666666666666,19,car,0.4576101005077362,672,2,723,45,False,False
55,1.8351666666666666,58,car,0.3097532391548157,47,0,127,25,False,False
56,1.8685333333333334,2,car,0.5210381746292114,387,287,591,504,True,True
56,1.8685333333333334,5,car,0.8314266800880432,696,258,858,420,True,True
56,1.8685333333333334,15,car,0.7534438967704773,574,45,643,105,False,False
56,1.8685333333333334,35,car,0.6122784614562988,880,149,1018,267,False,False
56,1.8685333333333334,36,car,0.7042568325996399,780,25,849,78,False,False
56,1.8685333333333334,37,car,0.7815586924552917,682,73,751,149,False,False
56,1.8685333333333334,19,car,0.44086071848869324,674,5,723,47,False,False
56,1.8685333333333334,58,car,0.26592084765434265,48,0,126,25,False,False
57,1.9019,2,car,0.8620284795761108,356,313,583,557,True,True
57,1.9019,5,car,0.7982876896858215,698,278,874,456,True,True
57,1.9019,15,car,0.6801379323005676,572,48,642,111,False,False
57,1.9019,35,car,0.6920012831687927,888,159,1037,286,False,False
57,1.9019,36,car,0.7221418619155884,784,30,852,83,False,False
57,1.9019,37,car,0.8528428077697754,681,77,754,157,False,False
57,1.9019,19,car,0.4887588322162628,675,9,722,50,False,False
57,1.9019,58,car,0.2731606364250183,48,0,126,24,False,False
58,1.9352666666666667,2,car,0.9031914472579956,329,345,582,620,True,True
58,1.9352666666666667,5,car,0.772327721118927,700,301,891,496,True,True
58,1.9352666666666667,15,car,0.6603453159332275,570,52,641,115,False,False
58,1.9352666666666667,35,car,0.722361147403717,898,171,1057,306,False,False
58,1.9352666666666667,36,car,0.8169786930084229,787,34,856,88,False,False
58,1.9352666666666667,37,car,0.8275021910667419,682,82,756,165,False,False
58,1.9352666666666667,19,car,0.542290210723877,675,13,723,54,False,False
58,1.9352666666666667,58,car,0.2577851116657257,48,0,126,24,False,False
58,1.9352666666666667,61,car,0.3967880606651306,664,8,722,55,False,False
59,1.9686333333333335,2,car,0.882760763168335,300,382,576,687,True,True
59,1.9686333333333335,5,car,0.7083320021629333,701,324,911,543,True,True
59,1.9686333333333335,15,car,0.573286771774292,567,56,641,122,False,False
59,1.9686333333333335,35,car,0.7277699708938599,910,186,1081,330,False,False
59,1.9686333333333335,36,car,0.7802535891532898,790,36,862,93,False,False
59,1.9686333333333335,37,car,0.7967391014099121,681,88,759,174,False,False
59,1.9686333333333335,19,car,0.364789217710495,676,17,723,57,False,False
59,1.9686333333333335,61,car,0.3713345229625702,661,7,724,58,False,False
60,2.0020000000000002,2,car,0.823326051235199,285,426,549,713,True,True
60,2.0020000000000002,5,car,0.7308785319328308,705,355,934,597,True,True
60,2.0020000000000002,15,car,0.5552462935447693,564,61,638,128,False,False
60,2.0020000000000002,35,car,0.6414006948471069,925,201,1107,354,False,False
60,2.0020000000000002,36,car,0.7542516589164734,794,40,867,98,False,False
60,2.0020000000000002,37,car,0.7443220615386963,683,94,763,182,False,False
60,2.0020000000000002,19,car,0.33909016847610474,674,20,722,61,False,False
60,2.0020000000000002,61,car,0.3510056734085083,659,7,726,62,False,False
61,2.0353666666666665,2,car,0.6846903562545776,278,480,512,720,True,True
61,2.0353666666666665,5,car,0.8358621597290039,707,389,963,663,True,True
61,2.0353666666666665,15,car,0.5548932552337646,564,66,638,132,False,False
61,2.0353666666666665,35,car,0.6450892686843872,936,217,1138,386,False,False
61,2.0353666666666665,36,car,0.7105951309204102,797,43,872,103,False,False
61,2.0353666666666665,37,car,0.6725676655769348,683,101,765,193,False,False
61,2.0353666666666665,19,car,0.43562832474708557,676,22,725,64,False,False
62,2.0687333333333333,2,car,0.6494356989860535,290,546,479,720,True,True
62,2.0687333333333333,5,car,0.7822577953338623,721,424,981,704,True,True
62,2.0687333333333333,15,car,0.6642279624938965,561,70,638,141,False,False
62,2.0687333333333333,35,car,0.6418706774711609,953,233,1170,416,True,True
